k_number,sha256,bytes
K012270,6a3cf5192354f71615ac51034b3e97c20eda99643fcaf5bbe6d41ad59bd12167,3
K012273,545c38b0922de19734fbffde62792c37c2aef6a3216cfa472449173165220f7d,4
K012294,7c370d9536d7d0d6a0f7cd7f9826692acd93e4fb05ba46f7b630b879740343d3,5
K012305,545c38b0922de19734fbffde62792c37c2aef6a3216cfa472449173165220f7d,4
K012334,545c38b0922de19734fbffde62792c37c2aef6a3216cfa472449173165220f7d,4
K012348,545c38b0922de19734fbffde62792c37c2aef6a3216cfa472449173165220f7d,4
K012364,545c38b0922de19734fbffde62792c37c2aef6a3216cfa472449173165220f7d,4
K012377,7c370d9536d7d0d6a0f7cd7f9826692acd93e4fb05ba46f7b630b879740343d3,5
K012378,545c38b0922de19734fbffde62792c37c2aef6a3216cfa472449173165220f7d,4
K012465,545c38b0922de19734fbffde62792c37c2aef6a3216cfa472449173165220f7d,4
K012469,545c38b0922de19734fbffde62792c37c2aef6a3216cfa472449173165220f7d,4
K012493,d088784b7ecb87f1ea17e6f982fa968ffefcc07b79de6ecc548fc00242868da6,6
K012503,545c38b0922de19734fbffde62792c37c2aef6a3216cfa472449173165220f7d,4
K012506,6a3cf5192354f71615ac51034b3e97c20eda99643fcaf5bbe6d41ad59bd12167,3
K012507,545c38b0922de19734fbffde62792c37c2aef6a3216cfa472449173165220f7d,4
K012516,7c370d9536d7d0d6a0f7cd7f9826692acd93e4fb05ba46f7b630b879740343d3,5
K012551,6a3cf5192354f71615ac51034b3e97c20eda99643fcaf5bbe6d41ad59bd12167,3
K012572,545c38b0922de19734fbffde62792c37c2aef6a3216cfa472449173165220f7d,4
K012591,545c38b0922de19734fbffde62792c37c2aef6a3216cfa472449173165220f7d,4
K012623,6fd4adaa55bbcc54da0e0fa0b5522a4b6d61a255eb937c5df6672114693b7d1e,9796
K012634,25fb310487f43987e49264e513b55474de74a0e674bf0a3ddb5d15d5bd557403,11689
K012645,e157f0e36b624fc77e4cad68c4c11a32fa9ba61ca65064fa7a844995a2a5e7c9,8704
K012648,b286be5278dca8887173e27487ec66f005247a96e13619c392ed741fdc2733a4,8303
K012655,6a3cf5192354f71615ac51034b3e97c20eda99643fcaf5bbe6d41ad59bd12167,3
K012739,d088784b7ecb87f1ea17e6f982fa968ffefcc07b79de6ecc548fc00242868da6,6
K012751,7c370d9536d7d0d6a0f7cd7f9826692acd93e4fb05ba46f7b630b879740343d3,5
K012776,7c370d9536d7d0d6a0f7cd7f9826692acd93e4fb05ba46f7b630b879740343d3,5
K012778,545c38b0922de19734fbffde62792c37c2aef6a3216cfa472449173165220f7d,4
K012787,545c38b0922de19734fbffde62792c37c2aef6a3216cfa472449173165220f7d,4
K012788,545c38b0922de19734fbffde62792c37c2aef6a3216cfa472449173165220f7d,4
K012798,6a3cf5192354f71615ac51034b3e97c20eda99643fcaf5bbe6d41ad59bd12167,3
K012800,545c38b0922de19734fbffde62792c37c2aef6a3216cfa472449173165220f7d,4
K012866,545c38b0922de19734fbffde62792c37c2aef6a3216cfa472449173165220f7d,4
K012870,545c38b0922de19734fbffde62792c37c2aef6a3216cfa472449173165220f7d,4
K012871,538d6440534fa5f615e8a26932792a82a2e4a33a97886e2d815eab8fc216d415,7
K012872,545c38b0922de19734fbffde62792c37c2aef6a3216cfa472449173165220f7d,4
K012881,6a3cf5192354f71615ac51034b3e97c20eda99643fcaf5bbe6d41ad59bd12167,3
K012916,545c38b0922de19734fbffde62792c37c2aef6a3216cfa472449173165220f7d,4
K012918,545c38b0922de19734fbffde62792c37c2aef6a3216cfa472449173165220f7d,4
K012945,6a3cf5192354f71615ac51034b3e97c20eda99643fcaf5bbe6d41ad59bd12167,3
K012961,545c38b0922de19734fbffde62792c37c2aef6a3216cfa472449173165220f7d,4
K012967,7c370d9536d7d0d6a0f7cd7f9826692acd93e4fb05ba46f7b630b879740343d3,5
K012971,545c38b0922de19734fbffde62792c37c2aef6a3216cfa472449173165220f7d,4
K013031,545c38b0922de19734fbffde62792c37c2aef6a3216cfa472449173165220f7d,4
K013035,d088784b7ecb87f1ea17e6f982fa968ffefcc07b79de6ecc548fc00242868da6,6
K013042,545c38b0922de19734fbffde62792c37c2aef6a3216cfa472449173165220f7d,4
K013044,6a3cf5192354f71615ac51034b3e97c20eda99643fcaf5bbe6d41ad59bd12167,3
K013057,545c38b0922de19734fbffde62792c37c2aef6a3216cfa472449173165220f7d,4
K013072,375b0dfdc1b0ea04c9e2b18f34e72ba5dc7f7f56c989b75bf829e74a23a376fd,6119
K013106,545c38b0922de19734fbffde62792c37c2aef6a3216cfa472449173165220f7d,4
K013107,6a3cf5192354f71615ac51034b3e97c20eda99643fcaf5bbe6d41ad59bd12167,3
K013131,998079e08fbd4cba6b0ff2c3754bff9f027e0c8d6d7818a928c8cd7a07f8df9a,6125
