device_knumber,predicate_knumber,tier
K170573,K933539,SECTION_HEADED
K170573,K963028,SECTION_HEADED
K170639,K120449,SECTION_HEADED
K170639,K133794,SECTION_HEADED
K170647,K130877,SECTION_HEADED
K170647,K133350,SECTION_HEADED
K170690,K151531,SECTION_HEADED
K170690,K160289,SECTION_HEADED
K170727,K000684,SECTION_HEADED
K170727,K130009,PROXIMITY_ONLY
K170727,K140565,SECTION_HEADED
K170802,K090435,SECTION_HEADED
K170802,K090460,SECTION_HEADED
K170802,K121876,SECTION_HEADED
K170804,K142253,SECTION_HEADED
K170804,K143249,SECTION_HEADED
K170890,K082698,SECTION_HEADED
K170890,K110927,SECTION_HEADED
K170890,K162358,SECTION_HEADED
K171058,K081023,SECTION_HEADED
K171058,K170452,SECTION_HEADED
K171181,K094035,SECTION_HEADED
K171181,K170444,SECTION_HEADED
K171250,K032394,PROXIMITY_ONLY
K171250,K052201,SECTION_HEADED
K171250,K070573,SECTION_HEADED
K171250,K091689,SECTION_HEADED
K171250,K093319,SECTION_HEADED
K171250,K110353,PROXIMITY_ONLY
K171250,K111076,SECTION_HEADED
K171250,K111719,PROXIMITY_ONLY
K171250,K123906,SECTION_HEADED
K171250,K131833,PROXIMITY_ONLY
K171250,K132332,PROXIMITY_ONLY
K171250,K141897,SECTION_HEADED
K171250,K142741,PROXIMITY_ONLY
K171250,K143278,PROXIMITY_ONLY
K171293,K051605,SECTION_HEADED
K171293,K132895,SECTION_HEADED
K171293,K152242,SECTION_HEADED
K171444,K141147,SECTION_HEADED
K171444,K161369,SECTION_HEADED
K171465,K170098,SECTION_HEADED
K171510,K170310,SECTION_HEADED
K171595,K082792,SECTION_HEADED
K171595,K091967,SECTION_HEADED
K171715,K150394,SECTION_HEADED
K171725,K133224,SECTION_HEADED
K171725,K163258,SECTION_HEADED
K172021,K100297,SECTION_HEADED
K172054,K051075,PROXIMITY_ONLY
K172054,K080402,PROXIMITY_ONLY
K172054,K092873,PROXIMITY_ONLY
K172054,K111629,PROXIMITY_ONLY
K172054,K112069,PROXIMITY_ONLY
K172054,K123982,PROXIMITY_ONLY
K172054,K130895,PROXIMITY_ONLY
K172054,K162024,PROXIMITY_ONLY
K172054,K162800,SECTION_HEADED
K172213,K014154,SECTION_HEADED
K172323,K142026,SECTION_HEADED
K172323,K142345,SECTION_HEADED
K172350,K000080,SECTION_HEADED
K172350,K133451,SECTION_HEADED
K172350,K153379,SECTION_HEADED
K172350,K162439,SECTION_HEADED
K172446,K162986,SECTION_HEADED
K172596,K143061,SECTION_HEADED
K172617,K143717,SECTION_HEADED
K172774,K102992,SECTION_HEADED
K172786,K151418,SECTION_HEADED
K172906,K112470,SECTION_HEADED
K173080,K121862,SECTION_HEADED
K173148,K072326,SECTION_HEADED
K173286,K150126,SECTION_HEADED
K173388,K102975,SECTION_HEADED
