device_knumber,predicate_knumber,tier
K232115,K190391,SECTION_HEADED
K232169,K961027,SECTION_HEADED
K232169,K973944,SECTION_HEADED
K232175,K112906,SECTION_HEADED
K232175,K183596,SECTION_HEADED
K232175,K192084,SECTION_HEADED
K232315,K193075,PROXIMITY_ONLY
K232340,K120155,SECTION_HEADED
K232340,K151092,SECTION_HEADED
K232371,K163577,SECTION_HEADED
K232371,K180263,SECTION_HEADED
K232371,K191569,SECTION_HEADED
K232371,K203167,SECTION_HEADED
K232371,K203420,SECTION_HEADED
K232371,K210678,SECTION_HEADED
K232394,K222031,SECTION_HEADED
K232411,K082215,SECTION_HEADED
K232411,K193513,SECTION_HEADED
K232411,K221366,SECTION_HEADED
K232492,K140643,SECTION_HEADED
K232492,K182941,SECTION_HEADED
K232492,K191242,SECTION_HEADED
K232492,K201883,SECTION_HEADED
K232595,K210390,SECTION_HEADED
K232595,K220523,SECTION_HEADED
K232648,K132893,SECTION_HEADED
K232648,K200246,SECTION_HEADED
K232648,K955848,SECTION_HEADED
K232742,K221364,SECTION_HEADED
K232742,K231113,SECTION_HEADED
K232755,K170206,SECTION_HEADED
K232755,K220947,SECTION_HEADED
K232755,K221485,SECTION_HEADED
K232790,K232628,PROXIMITY_ONLY
K232792,K172480,PROXIMITY_ONLY
K232792,K192897,PROXIMITY_ONLY
K232792,K232628,PROXIMITY_ONLY
K232838,K201253,SECTION_HEADED
K233025,K152171,SECTION_HEADED
K233089,K181113,SECTION_HEADED
K233089,K201149,SECTION_HEADED
K233134,K040212,SECTION_HEADED
K233134,K161466,SECTION_HEADED
K233134,K213328,SECTION_HEADED
K233134,K970097,SECTION_HEADED
K233215,K232628,SECTION_HEADED
K233311,K130986,SECTION_HEADED
K233332,K231460,SECTION_HEADED
K233476,K120030,SECTION_HEADED
K233476,K150862,SECTION_HEADED
K233476,K160907,SECTION_HEADED
K233476,K182048,SECTION_HEADED
K233476,K192189,SECTION_HEADED
K233476,K210581,SECTION_HEADED
K233490,K132071,SECTION_HEADED
K233490,K193513,SECTION_HEADED
K233507,K152298,SECTION_HEADED
K233507,K182039,SECTION_HEADED
K233507,K200113,SECTION_HEADED
K233507,K230563,SECTION_HEADED
K233601,K203523,SECTION_HEADED
K233601,K230892,SECTION_HEADED
K233640,K140417,PROXIMITY_ONLY
K233640,K192938,SECTION_HEADED
K233640,K211805,SECTION_HEADED
K233640,K222028,PROXIMITY_ONLY
K233659,K110879,SECTION_HEADED
K233659,K231326,SECTION_HEADED
K233735,K203714,SECTION_HEADED
K233744,K213030,SECTION_HEADED
K233744,K222276,SECTION_HEADED
K233867,K163368,SECTION_HEADED
K233867,K190388,SECTION_HEADED
K233867,K200246,PROXIMITY_ONLY
K233867,K220234,SECTION_HEADED
K233867,K955848,SECTION_HEADED
K233867,K974186,PROXIMITY_ONLY
K233910,K170972,SECTION_HEADED
K233910,K181375,SECTION_HEADED
K233912,K192417,SECTION_HEADED
K233919,K133974,SECTION_HEADED
K233947,K131981,SECTION_HEADED
K233980,K111433,SECTION_HEADED
K233980,K170806,SECTION_HEADED
K233980,K212746,PROXIMITY_ONLY
K233980,K230295,PROXIMITY_ONLY
K233980,K232303,SECTION_HEADED
K233994,K233665,SECTION_HEADED
K234028,K220492,SECTION_HEADED
K234059,K142581,SECTION_HEADED
K234059,K143523,SECTION_HEADED
K234059,K151277,SECTION_HEADED
K234075,K231114,SECTION_HEADED
K234119,K172424,SECTION_HEADED
K234119,K220147,SECTION_HEADED
K234128,K143276,SECTION_HEADED
K240259,K193067,SECTION_HEADED
K240424,K182074,SECTION_HEADED
K240450,K200725,SECTION_HEADED
K240450,K210239,SECTION_HEADED
K240450,K221468,SECTION_HEADED
K240450,K232592,SECTION_HEADED
K240458,K221644,SECTION_HEADED
K240459,K201535,SECTION_HEADED
K240505,K214123,SECTION_HEADED
K240591,K192778,SECTION_HEADED
K240591,K201393,PROXIMITY_ONLY
K240591,K203447,PROXIMITY_ONLY
K240591,K223316,SECTION_HEADED
K240591,K232595,SECTION_HEADED
K240669,K094035,SECTION_HEADED
K240669,K222270,SECTION_HEADED
K240835,K071978,SECTION_HEADED
K240835,K143624,SECTION_HEADED
K240835,K182492,SECTION_HEADED
K240863,K200912,SECTION_HEADED
K240863,K222816,SECTION_HEADED
K241000,K160700,SECTION_HEADED
K241000,K212746,PROXIMITY_ONLY
K241000,K230295,PROXIMITY_ONLY
K241000,K232303,PROXIMITY_ONLY
K241000,K233980,PROXIMITY_ONLY
K241077,K173982,SECTION_HEADED
K241167,K173301,SECTION_HEADED
K241167,K203714,SECTION_HEADED
K241167,K222276,SECTION_HEADED
K241235,K202581,SECTION_HEADED
K241235,K221128,SECTION_HEADED
K241235,K231113,SECTION_HEADED
K241235,K231857,SECTION_HEADED
K241235,K232742,SECTION_HEADED
K241235,K232973,SECTION_HEADED
K241241,K120030,SECTION_HEADED
K241241,K233476,SECTION_HEADED
K241282,K203740,SECTION_HEADED
K241292,K190738,SECTION_HEADED
K241387,K170518,SECTION_HEADED
K241387,K173121,SECTION_HEADED
K241387,K181113,SECTION_HEADED
K241387,K213069,SECTION_HEADED
K241387,K213698,SECTION_HEADED
K241461,K131458,SECTION_HEADED
K241461,K200391,SECTION_HEADED
K241482,K113828,SECTION_HEADED
K241482,K192778,SECTION_HEADED
K241482,K240591,SECTION_HEADED
K241564,K082575,PROXIMITY_ONLY
K241564,K192363,PROXIMITY_ONLY
K241564,K200640,PROXIMITY_ONLY
K241564,K201464,PROXIMITY_ONLY
K241564,K232315,PROXIMITY_ONLY
K241592,K082516,SECTION_HEADED
K241597,K030623,SECTION_HEADED
K241597,K090411,SECTION_HEADED
K241597,K171991,SECTION_HEADED
K241597,K182346,SECTION_HEADED
K241597,K211221,SECTION_HEADED
K241597,K230321,SECTION_HEADED
K241816,K181390,SECTION_HEADED
K241875,K161184,SECTION_HEADED
K241875,K191297,PROXIMITY_ONLY
K241875,K191927,SECTION_HEADED
K241875,K191936,SECTION_HEADED
K241875,K220336,PROXIMITY_ONLY
K241932,K212594,SECTION_HEADED
K241932,K231272,SECTION_HEADED
K241932,K233302,SECTION_HEADED
K242046,K110404,SECTION_HEADED
K242046,K121037,SECTION_HEADED
K242046,K130673,SECTION_HEADED
K242046,K192507,SECTION_HEADED
K242091,K211843,SECTION_HEADED
K242147,K161363,SECTION_HEADED
K242147,K192938,SECTION_HEADED
K242147,K221926,SECTION_HEADED
K242247,K212266,SECTION_HEADED
K242296,K061665,SECTION_HEADED
K242296,K063453,SECTION_HEADED
K242296,K070758,SECTION_HEADED
K242296,K070908,SECTION_HEADED
K242296,K130274,SECTION_HEADED
K242296,K173788,SECTION_HEADED
K242299,K082672,SECTION_HEADED
K242299,K240404,SECTION_HEADED
K242307,K133811,PROXIMITY_ONLY
K242307,K161592,PROXIMITY_ONLY
K242307,K162084,PROXIMITY_ONLY
K242307,K202716,PROXIMITY_ONLY
K242307,K221292,PROXIMITY_ONLY
K242364,K161363,SECTION_HEADED
K242364,K192938,SECTION_HEADED
K242401,K071071,SECTION_HEADED
K242401,K110404,SECTION_HEADED
K242401,K121037,SECTION_HEADED
K242401,K130673,SECTION_HEADED
K242401,K192507,SECTION_HEADED
K242401,K951987,SECTION_HEADED
K242436,K143697,SECTION_HEADED
K242436,K181091,SECTION_HEADED
K242436,K213895,SECTION_HEADED
K242452,K212895,SECTION_HEADED
K242665,K101433,SECTION_HEADED
K242665,K103756,SECTION_HEADED
K242665,K201347,SECTION_HEADED
K242665,K233980,SECTION_HEADED
K242751,K233912,SECTION_HEADED
K242868,K192778,PROXIMITY_ONLY
K242868,K232595,SECTION_HEADED
K242868,K240591,SECTION_HEADED
K242868,K241482,SECTION_HEADED
K243021,K201278,SECTION_HEADED
K243188,K241438,SECTION_HEADED
K243195,K082516,SECTION_HEADED
K243247,K031462,SECTION_HEADED
K243344,K230976,SECTION_HEADED
K243448,K232002,SECTION_HEADED
K243456,K094035,SECTION_HEADED
K243456,K103233,SECTION_HEADED
K243456,K150522,SECTION_HEADED
K243456,K161190,SECTION_HEADED
K243456,K182468,SECTION_HEADED
K243456,K190660,SECTION_HEADED
K243456,K220495,SECTION_HEADED
K243456,K222270,PROXIMITY_ONLY
K243470,K233893,SECTION_HEADED
K243526,K222063,SECTION_HEADED
K243526,K231270,SECTION_HEADED
K243526,K231903,SECTION_HEADED
K243526,K233566,SECTION_HEADED
K243643,K192778,SECTION_HEADED
K243643,K193373,SECTION_HEADED
K243643,K240591,SECTION_HEADED
K243706,K071813,SECTION_HEADED
K243706,K082166,SECTION_HEADED
K243706,K082918,SECTION_HEADED
K243706,K141824,SECTION_HEADED
K243760,K231272,SECTION_HEADED
K243760,K241277,SECTION_HEADED
K243760,K241932,SECTION_HEADED
K243790,K103712,SECTION_HEADED
K243790,K141259,SECTION_HEADED
K243790,K181809,SECTION_HEADED
K243973,K212266,SECTION_HEADED
K243995,K103705,PROXIMITY_ONLY
K243995,K143614,PROXIMITY_ONLY
K243995,K150456,PROXIMITY_ONLY
K243995,K180310,SECTION_HEADED
K243995,K203294,PROXIMITY_ONLY
K243995,K241592,PROXIMITY_ONLY
K243995,K242079,SECTION_HEADED
K244039,K102380,SECTION_HEADED
K244039,K122218,SECTION_HEADED
K244039,K953439,SECTION_HEADED
K250112,K203399,SECTION_HEADED
K250112,K220234,SECTION_HEADED
K250155,K173746,SECTION_HEADED
K250155,K221395,SECTION_HEADED
K250155,K241539,SECTION_HEADED
K250338,K202022,SECTION_HEADED
K250424,K112990,SECTION_HEADED
K250424,K230976,SECTION_HEADED
K250424,K241235,SECTION_HEADED
K250521,K190110,SECTION_HEADED
K250526,K173788,SECTION_HEADED
K250526,K193157,SECTION_HEADED
K250526,K230433,SECTION_HEADED
K250556,K240765,SECTION_HEADED
K250596,K193157,SECTION_HEADED
K250596,K221396,SECTION_HEADED
K250596,K230433,SECTION_HEADED
K250644,K202022,SECTION_HEADED
K250644,K202568,SECTION_HEADED
K250894,K021932,SECTION_HEADED
K250894,K190580,SECTION_HEADED
K250894,K240505,SECTION_HEADED
K250894,K242431,SECTION_HEADED
K251016,K202568,SECTION_HEADED
K251016,K221850,SECTION_HEADED
K251075,K193211,SECTION_HEADED
K251080,K161363,SECTION_HEADED
K251080,K192938,SECTION_HEADED
K251080,K232275,SECTION_HEADED
K251145,K181513,SECTION_HEADED
K251161,K222270,SECTION_HEADED
K251166,K151531,SECTION_HEADED
K251166,K223548,SECTION_HEADED
K251382,K042030,SECTION_HEADED
K251382,K111834,SECTION_HEADED
K251554,K202207,SECTION_HEADED
K251575,K161363,SECTION_HEADED
K251575,K192938,SECTION_HEADED
K251618,K202684,SECTION_HEADED
K251680,K003641,SECTION_HEADED
K251680,K201749,SECTION_HEADED
K251680,K202535,SECTION_HEADED
K251725,K110522,SECTION_HEADED
K251725,K123656,PROXIMITY_ONLY
K251725,K132101,PROXIMITY_ONLY
K251725,K143417,PROXIMITY_ONLY
K251725,K150570,SECTION_HEADED
K251725,K162189,PROXIMITY_ONLY
K251725,K173524,PROXIMITY_ONLY
K251725,K183383,SECTION_HEADED
K251725,K231737,PROXIMITY_ONLY
K251750,K003816,SECTION_HEADED
K251750,K050358,SECTION_HEADED
K251750,K173240,SECTION_HEADED
K251771,K011138,SECTION_HEADED
K251771,K042093,SECTION_HEADED
K251771,K060412,SECTION_HEADED
K251809,K181746,SECTION_HEADED
K251965,K161363,SECTION_HEADED
K251965,K192938,SECTION_HEADED
K251965,K241375,PROXIMITY_ONLY
K251975,K190085,PROXIMITY_ONLY
K251975,K202716,PROXIMITY_ONLY
K251975,K210308,PROXIMITY_ONLY
K251975,K242307,PROXIMITY_ONLY
K251975,K243768,PROXIMITY_ONLY
K252022,K231272,SECTION_HEADED
K252022,K243760,SECTION_HEADED
K252022,K251309,SECTION_HEADED
K252106,K232838,SECTION_HEADED
K252196,K203294,SECTION_HEADED
K252196,K221031,SECTION_HEADED
K252196,K222267,SECTION_HEADED
K252196,K230257,SECTION_HEADED
K252326,K172906,SECTION_HEADED
K252418,K234105,SECTION_HEADED
K252451,K190660,SECTION_HEADED
K252567,K203755,SECTION_HEADED
K252611,K250827,SECTION_HEADED
K252807,K222244,SECTION_HEADED
K252807,K242079,SECTION_HEADED
K252826,K202099,SECTION_HEADED
K252826,K231251,SECTION_HEADED
K252826,K242247,SECTION_HEADED
K252885,K150408,SECTION_HEADED
K252885,K161114,SECTION_HEADED
K252885,K182239,SECTION_HEADED
K252885,K231694,SECTION_HEADED
K252887,K101433,SECTION_HEADED
K252887,K111433,SECTION_HEADED
K252887,K233980,SECTION_HEADED
K253144,K200912,SECTION_HEADED
K253144,K240863,SECTION_HEADED
K253147,K242782,SECTION_HEADED
K253147,K243526,SECTION_HEADED
K253161,K123457,SECTION_HEADED
K253161,K150680,SECTION_HEADED
K253197,K233980,SECTION_HEADED
K253239,K181530,SECTION_HEADED
K253239,K220737,SECTION_HEADED
K253239,K223062,SECTION_HEADED
K253488,K161210,SECTION_HEADED
K253488,K220195,SECTION_HEADED
K253488,K233508,SECTION_HEADED
K253488,K241504,SECTION_HEADED
K253613,K201253,SECTION_HEADED
K253613,K212895,SECTION_HEADED
K253695,K230212,SECTION_HEADED
K253695,K243988,SECTION_HEADED
K253793,K202207,SECTION_HEADED
K253895,K150648,SECTION_HEADED
K253895,K230435,SECTION_HEADED
K253906,K250155,SECTION_HEADED
K253931,K251145,SECTION_HEADED
K253992,K152754,SECTION_HEADED
K254045,K240846,SECTION_HEADED
K254045,K243106,SECTION_HEADED
K254055,K231272,SECTION_HEADED
K254055,K243760,SECTION_HEADED
K254055,K251309,SECTION_HEADED
K254055,K252022,SECTION_HEADED
K254061,K143578,SECTION_HEADED
K254061,K181261,SECTION_HEADED
K254061,K241375,SECTION_HEADED
K254202,K251016,SECTION_HEADED
K254215,K082516,SECTION_HEADED
K254215,K140741,SECTION_HEADED
